canton,annee,population
Vaud,2000,620294
Valais / Wallis,2000,276170
Neuchâtel,2000,165731
Genève,2000,408820
Jura,2000,68794
Suisse,2001,7255653
Zürich,2001,1226931
Bern / Berne,2001,946310
Luzern,2001,350017
Uri,2001,34992
Schwyz,2001,131264
Obwalden,2001,32678
Nidwalden,2001,38389
Glarus,2001,38216
Zug,2001,101022
Fribourg / Freiburg,2001,240339
Solothurn,2001,245264
Basel-Stadt,2001,186469
Basel-Landschaft,2001,261083
Schaffhausen,2001,73229
Appenzell Ausserrhoden,2001,53138
Appenzell Innerrhoden,2001,14977
St. Gallen,2001,452904
Graubünden / Grigioni / Grischun,2001,185225
Aargau,2001,550298
Thurgau,2001,228206
Ticino,2001,312528
Vaud,2001,624980
Valais / Wallis,2001,278419
Neuchâtel,2001,166227
Genève,2001,413618
Jura,2001,68930
Suisse,2002,7313853
Zürich,2002,1241312
Bern / Berne,2002,949590
Luzern,2002,351889
Uri,2002,35209
Schwyz,2002,133227
Obwalden,2002,32961
Nidwalden,2002,38736
Glarus,2002,38322
Zug,2002,102407
Fribourg / Freiburg,2002,243400
Solothurn,2002,246280
Basel-Stadt,2002,186719
Basel-Landschaft,2002,262949
Schaffhausen,2002,73834
Appenzell Ausserrhoden,2002,53097
Appenzell Innerrhoden,2002,14985
St. Gallen,2002,455251
Graubünden / Grigioni / Grischun,2002,185771
Aargau,2002,555782
Thurgau,2002,229904
Ticino,2002,315256
Vaud,2002,631039
Valais / Wallis,2002,281345
Neuchâtel,2002,166767
Genève,2002,418747
Jura,2002,69074
Suisse,2003,7364148
Zürich,2003,1249893
Bern / Berne,2003,951957
Luzern,2003,353175
Uri,2003,35118
Schwyz,2003,134903
Obwalden,2003,33142
Nidwalden,2003,39070
Glarus,2003,38502
Zug,2003,103642
Fribourg / Freiburg,2003,246656
Solothurn,2003,246807
Basel-Stadt,2003,186653
Basel-Landschaft,2003,264402
Schaffhausen,2003,73968
Appenzell Ausserrhoden,2003,52976
Appenzell Innerrhoden,2003,15010
St. Gallen,2003,457289
Graubünden / Grigioni / Grischun,2003,186943
Aargau,2003,560674
Thurgau,2003,231836
Ticino,2003,317315
Vaud,2003,639105
Valais / Wallis,2003,285008
Neuchâtel,2003,167047
Genève,2003,423993
Jura,2003,69064
Suisse,2004,7415102
Zürich,2004,1261810
Bern / Berne,2004,955378
Luzern,2004,354731
Uri,2004,35083
Schwyz,2004,135989
Obwalden,2004,33162
Nidwalden,2004,39497
Glarus,2004,38317
Zug,2004,105244
Fribourg / Freiburg,2004,250377
Solothurn,2004,247379
Basel-Stadt,2004,186753
Basel-Landschaft,2004,265305
Schaffhausen,2004,73788
Appenzell Ausserrhoden,2004,52841
Appenzell Innerrhoden,2004,15029
St. Gallen,2004,458821
Graubünden / Grigioni / Grischun,2004,187812
Aargau,2004,565122
Thurgau,2004,232978
Ticino,2004,319931
Vaud,2004,647382
Valais / Wallis,2004,287976
Neuchâtel,2004,167910
Genève,2004,427396
Jura,2004,69091
Suisse,2005,7459128
Zürich,2005,1272590
Bern / Berne,2005,957064
Luzern,2005,356384
Uri,2005,35087
Schwyz,2005,137522
Obwalden,2005,33269
Nidwalden,2005,39803
Glarus,2005,38173
Zug,2005,106496
Fribourg / Freiburg,2005,253954
Solothurn,2005,247937
Basel-Stadt,2005,185601
Basel-Landschaft,2005,266089
Schaffhausen,2005,73764
Appenzell Ausserrhoden,2005,52561
Appenzell Innerrhoden,2005,15220
St. Gallen,2005,459999
Graubünden / Grigioni / Grischun,2005,187803
Aargau,2005,569344
Thurgau,2005,234332
Ticino,2005,322276
Vaud,2005,654093
Valais / Wallis,2005,291575
Neuchâtel,2005,168444
Genève,2005,430638
Jura,2005,69110
Suisse,2006,7508739
Zürich,2006,1284052
Bern / Berne,2006,958897
Luzern,2006,359110
Uri,2006,34948
Schwyz,2006,138832
Obwalden,2006,33755
Nidwalden,2006,40012
Glarus,2006,38084
Zug,2006,107171
Fribourg / Freiburg,2006,258252
Solothurn,2006,248613
Basel-Stadt,2006,184822
Basel-Landschaft,2006,267166
Schaffhausen,2006,73866
Appenzell Ausserrhoden,2006,52509
Appenzell Innerrhoden,2006,15300
St. Gallen,2006,461810
Graubünden / Grigioni / Grischun,2006,187920
Aargau,2006,574813
Thurgau,2006,235764
Ticino,2006,324851
Vaud,2006,662145
Valais / Wallis,2006,294608
Neuchâtel,2006,168912
Genève,2006,433235
Jura,2006,69292
Suisse,2007,7593494
Zürich,2007,1307567
Bern / Berne,2007,962982
Luzern,2007,363475
Uri,2007,34989
Schwyz,2007,141024
Obwalden,2007,33997
Nidwalden,2007,40287
Glarus,2007,38237
Zug,2007,109141
Fribourg / Freiburg,2007,263241
Solothurn,2007,250240
Basel-Stadt,2007,185227
Basel-Landschaft,2007,269145
Schaffhausen,2007,74527
Appenzell Ausserrhoden,2007,52654
Appenzell Innerrhoden,2007,15471
St. Gallen,2007,465937
Graubünden / Grigioni / Grischun,2007,188762
Aargau,2007,581562
Thurgau,2007,238316
Ticino,2007,328580
Vaud,2007,672039
Valais / Wallis,2007,298580
Neuchâtel,2007,169782
Genève,2007,438177
Jura,2007,69555
Suisse,2008,7701856
Zürich,2008,1332727
Bern / Berne,2008,969299
Luzern,2008,368742
Uri,2008,35162
Schwyz,2008,143719
Obwalden,2008,34429
Nidwalden,2008,40737
Glarus,2008,38370
Zug,2008,110384
Fribourg / Freiburg,2008,268537
Solothurn,2008,251830
Basel-Stadt,2008,186672
Basel-Landschaft,2008,271214
Schaffhausen,2008,75303
Appenzell Ausserrhoden,2008,53054
Appenzell Innerrhoden,2008,15549
St. Gallen,2008,471152
Graubünden / Grigioni / Grischun,2008,190459
Aargau,2008,591632
Thurgau,2008,241811
Ticino,2008,332736
Vaud,2008,688245
Valais / Wallis,2008,303241
Neuchâtel,2008,170924
Genève,2008,446106
Jura,2008,69822
Suisse,2009,7785806
Zürich,2009,1351297
Bern / Berne,2009,974235
Luzern,2009,372964
Uri,2009,35335
Schwyz,2009,144686
Obwalden,2009,35032
Nidwalden,2009,40794
Glarus,2009,38479
Zug,2009,110890
Fribourg / Freiburg,2009,273159
Solothurn,2009,252748
Basel-Stadt,2009,187898
Basel-Landschaft,2009,272815
Schaffhausen,2009,75657
Appenzell Ausserrhoden,2009,53043
Appenzell Innerrhoden,2009,15681
